#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
069,Bellsprout,Poison,300,50,75,35,70,30,40
070,Weepinbell,Grass,390,65,90,50,85,45,55
070,Weepinbell,Poison,390,65,90,50,85,45,55
071,Victreebel,Grass,490,80,105,65,100,70,70
071,Victreebel,Poison,490,80,105,65,100,70,70
072,Tentacool,Water,335,40,40,35,50,100,70
072,Tentacool,Poison,335,40,40,35,50,100,70
073,Tentacruel,Water,515,80,70,65,80,120,100
073,Tentacruel,Poison,515,80,70,65,80,120,100
074,Geodude,Rock,300,40,80,100,30,30,20
074,Geodude,Ground,300,40,80,100,30,30,20
074,GeodudeAlolan Geodude,Rock,300,40,80,100,30,30,20
074,GeodudeAlolan Geodude,Electric,300,40,80,100,30,30,20
075,Graveler,Rock,390,55,95,115,45,45,35
075,Graveler,Ground,390,55,95,115,45,45,35
075,GravelerAlolan Graveler,Rock,390,55,95,115,45,45,35
075,GravelerAlolan Graveler,Electric,390,55,95,115,45,45,35
076,Golem,Rock,495,80,120,130,55,65,45
076,Golem,Ground,495,80,120,130,55,65,45
076,GolemAlolan Golem,Rock,495,80,120,130,55,65,45
076,GolemAlolan Golem,Electric,495,80,120,130,55,65,45
077,Ponyta,Fire,410,50,85,55,65,65,90
078,Rapidash,Fire,500,65,100,70,80,80,105
079,Slowpoke,Water,315,90,65,65,40,40,15
079,Slowpoke,Psychic,315,90,65,65,40,40,15
080,Slowbro,Water,490,95,75,110,100,80,30
080,Slowbro,Psychic,490,95,75,110,100,80,30
080,SlowbroMega Slowbro,Water,590,95,75,180,130,80,30
080,SlowbroMega Slowbro,Psychic,590,95,75,180,130,80,30
081,Magnemite,Electric,325,25,35,70,95,55,45
081,Magnemite,Steel,325,25,35,70,95,55,45
082,Magneton,Electric,465,50,60,95,120,70,70
082,Magneton,Steel,465,50,60,95,120,70,70
083,Farfetch'd,Normal,377,52,90,55,58,62,60
083,Farfetch'd,Flying,377,52,90,55,58,62,60
084,Doduo,Normal,310,35,85,45,35,35,75
084,Doduo,Flying,310,35,85,45,35,35,75
085,Dodrio,Normal,470,60,110,70,60,60,110
085,Dodrio,Flying,470,60,110,70,60,60,110
086,Seel,Water,325,65,45,55,45,70,45
087,Dewgong,Water,475,90,70,80,70,95,70
087,Dewgong,Ice,475,90,70,80,70,95,70
088,Grimer,Poison,325,80,80,50,40,50,25
088,GrimerAlolan Grimer,Poison,325,80,80,50,40,50,25
088,GrimerAlolan Grimer,Dark,325,80,80,50,40,50,25
089,Muk,Poison,500,105,105,75,65,100,50
089,MukAlolan Muk,Poison,500,105,105,75,65,100,50
089,MukAlolan Muk,Dark,500,105,105,75,65,100,50
090,Shellder,Water,305,30,65,100,45,25,40
091,Cloyster,Water,525,50,95,180,85,45,70
091,Cloyster,Ice,525,50,95,180,85,45,70
092,Gastly,Ghost,310,30,35,30,100,35,80
092,Gastly,Poison,310,30,35,30,100,35,80
093,Haunter,Ghost,405,45,50,45,115,55,95
093,Haunter,Poison,405,45,50,45,115,55,95
094,Gengar,Ghost,500,60,65,60,130,75,110
094,Gengar,Poison,500,60,65,60,130,75,110
094,GengarMega Gengar,Ghost,600,60,65,80,170,95,130
094,GengarMega Gengar,Poison,600,60,65,80,170,95,130
095,Onix,Rock,385,35,45,160,30,45,70
095,Onix,Ground,385,35,45,160,30,45,70
096,Drowzee,Psychic,328,60,48,45,43,90,42
097,Hypno,Psychic,483,85,73,70,73,115,67
098,Krabby,Water,325,30,105,90,25,25,50
099,Kingler,Water,475,55,130,115,50,50,75
100,Voltorb,Electric,330,40,30,50,55,55,100
101,Electrode,Electric,490,60,50,70,80,80,150
102,Exeggcute,Grass,325,60,40,80,60,45,40
102,Exeggcute,Psychic,325,60,40,80,60,45,40
103,Exeggutor,Grass,530,95,95,85,125,75,55
103,Exeggutor,Psychic,530,95,95,85,125,75,55
103,ExeggutorAlolan Exeggutor,Grass,530,95,105,85,125,75,45
103,ExeggutorAlolan Exeggutor,Dragon,530,95,105,85,125,75,45
104,Cubone,Ground,320,50,50,95,40,50,35
105,Marowak,Ground,425,60,80,110,50,80,45
105,MarowakAlolan Marowak,Fire,425,60,80,110,50,80,45
105,MarowakAlolan Marowak,Ghost,425,60,80,110,50,80,45
106,Hitmonlee,Fighting,455,50,120,53,35,110,87
107,Hitmonchan,Fighting,455,50,105,79,35,110,76
108,Lickitung,Normal,385,90,55,75,60,75,30
109,Koffing,Poison,340,40,65,95,60,45,35
110,Weezing,Poison,490,65,90,120,85,70,60
111,Rhyhorn,Ground,345,80,85,95,30,30,25
111,Rhyhorn,Rock,345,80,85,95,30,30,25
112,Rhydon,Ground,485,105,130,120,45,45,40
112,Rhydon,Rock,485,105,130,120,45,45,40
113,Chansey,Normal,450,250,5,5,35,105,50
114,Tangela,Grass,435,65,55,115,100,40,60
115,Kangaskhan,Normal,490,105,95,80,40,80,90
115,KangaskhanMega Kangaskhan,Normal,590,105,125,100,60,100,100
116,Horsea,Water,295,30,40,70,70,25,60
117,Seadra,Water,440,55,65,95,95,45,85
118,Goldeen,Water,320,45,67,60,35,50,63
119,Seaking,Water,450,80,92,65,65,80,68
120,Staryu,Water,340,30,45,55,70,55,85
121,Starmie,Water,520,60,75,85,100,85,115
121,Starmie,Psychic,520,60,75,85,100,85,115
122,Mr. Mime,Psychic,460,40,45,65,100,120,90
122,Mr. Mime,Fairy,460,40,45,65,100,120,90
123,Scyther,Bug,500,70,110,80,55,80,105
123,Scyther,Flying,500,70,110,80,55,80,105
124,Jynx,Ice,455,65,50,35,115,95,95
124,Jynx,Psychic,455,65,50,35,115,95,95
125,Electabuzz,Electric,490,65,83,57,95,85,105
126,Magmar,Fire,495,65,95,57,100,85,93
127,Pinsir,Bug,500,65,125,100,55,70,85
127,PinsirMega Pinsir,Bug,600,65,155,120,65,90,105
127,PinsirMega Pinsir,Flying,600,65,155,120,65,90,105
128,Tauros,Normal,490,75,100,95,40,70,110
129,Magikarp,Water,200,20,10,55,15,20,80
130,Gyarados,Water,540,95,125,79,60,100,81
130,Gyarados,Flying,540,95,125,79,60,100,81
130,GyaradosMega Gyarados,Water,640,95,155,109,70,130,81
130,GyaradosMega Gyarados,Dark,640,95,155,109,70,130,81
131,Lapras,Water,535,130,85,80,85,95,60
131,Lapras,Ice,535,130,85,80,85,95,60
132,Ditto,Normal,288,48,48,48,48,48,48
133,Eevee,Normal,325,55,55,50,45,65,55
133,EeveePartner Eevee,Normal,435,65,75,70,65,85,75
134,Vaporeon,Water,525,130,65,60,110,95,65
135,Jolteon,Electric,525,65,65,60,110,95,130
136,Flareon,Fire,525,65,130,60,95,110,65
137,Porygon,Normal,395,65,60,70,85,75,40
138,Omanyte,Rock,355,35,40,100,90,55,35
138,Omanyte,Water,355,35,40,100,90,55,35
139,Omastar,Rock,495,70,60,125,115,70,55
139,Omastar,Water,495,70,60,125,115,70,55
140,Kabuto,Rock,355,30,80,90,55,45,55
140,Kabuto,Water,355,30,80,90,55,45,55
141,Kabutops,Rock,495,60,115,105,65,70,80
141,Kabutops,Water,495,60,115,105,65,70,80
142,Aerodactyl,Rock,515,80,105,65,60,75,130
142,Aerodactyl,Flying,515,80,105,65,60,75,130
142,AerodactylMega Aerodactyl,Rock,615,80,135,85,70,95,150
142,AerodactylMega Aerodactyl,Flying,615,80,135,85,70,95,150
143,Snorlax,Normal,540,160,110,65,65,110,30
144,Articuno,Ice,580,90,85,100,95,125,85
144,Articuno,Flying,580,90,85,100,95,125,85
145,Zapdos,Electric,580,90,90,85,125,90,100
145,Zapdos,Flying,580,90,90,85,125,90,100
146,Moltres,Fire,580,90,100,90,125,85,90
146,Moltres,Flying,580,90,100,90,125,85,90
147,Dratini,Dragon,300,41,64,45,50,50,50
148,Dragonair,Dragon,420,61,84,65,70,70,70
149,Dragonite,Dragon,600,91,134,95,100,100,80
149,Dragonite,Flying,600,91,134,95,100,100,80
150,Mewtwo,Psychic,680,106,110,90,154,90,130
150,MewtwoMega Mewtwo X,Psychic,780,106,190,100,154,100,130
150,MewtwoMega Mewtwo X,Fighting,780,106,190,100,154,100,130
150,MewtwoMega Mewtwo Y,Psychic,780,106,150,70,194,120,140
151,Mew,Psychic,600,100,100,100,100,100,100
808,Meltan,Steel,300,46,65,65,55,35,34
809,Melmetal,Steel,600,135,143,143,80,65,34
